pha,sex,year,asr_per_100k,disease,population
10227,females,2017,889.423621886299,Respiratory disease,155.0
10303,females,2017,2727.54592300135,Respiratory disease,290.0
10303,females,2017,1535.51942290278,Respiratory disease,594.0
10056,females,2017,1846.40002045377,Respiratory disease,264.0
10065,females,2017,915.380672847503,Respiratory disease,112.0
10112,females,2017,2114.19826125304,Respiratory disease,380.0
10066,females,2017,1740.57940697178,Respiratory disease,432.0
10190,females,2017,1826.78012516615,Respiratory disease,99.0
10205,females,2017,1906.63032378152,Respiratory disease,200.0
10057,females,2017,1654.86013361571,Respiratory disease,346.0
10023,females,2017,2753.0606565881,Respiratory disease,476.0
10286,females,2017,1234.35425233173,Respiratory disease,137.0
10078,females,2017,2196.95935879464,Respiratory disease,327.0
10242,females,2017,1438.27289525081,Respiratory disease,129.0
10310,females,2017,3660.75966327036,Respiratory disease,326.0
10070,females,2017,1415.72250861145,Respiratory disease,181.0
10212,females,2017,1374.97195779216,Respiratory disease,67.0
10297,females,2017,827.702367609026,Respiratory disease,48.0
10120,females,2017,908.565456055237,Respiratory disease,227.0
10084,females,2017,2458.45824522502,Respiratory disease,203.0
10301,females,2017,3810.92878299982,Respiratory disease,195.0
10301,females,2017,3019.74551107055,Respiratory disease,647.0
10302,females,2017,2309.12841998697,Respiratory disease,128.0
10302,females,2017,2332.63466950482,Respiratory disease,747.0
10180,females,2017,1668.37140552666,Respiratory disease,228.0
10179,females,2017,1294.20242931613,Respiratory disease,103.0
10149,females,2017,3070.72595791822,Respiratory disease,386.0
10241,females,2017,,Respiratory disease,
10252,females,2017,1712.77285414436,Respiratory disease,151.0
10240,females,2017,1398.02925579848,Respiratory disease,197.0
10187,females,2017,3432.52689172411,Respiratory disease,273.0
10102,females,2017,5583.30382487247,Respiratory disease,322.0
10102,females,2017,1781.22747517782,Respiratory disease,486.0
10135,females,2017,1510.16408182858,Respiratory disease,170.0
10207,females,2017,2292.10449943388,Respiratory disease,345.0
10208,females,2017,1535.73172431646,Respiratory disease,87.0
10209,females,2017,3106.56026460246,Respiratory disease,338.0
10047,females,2017,1494.18450015857,Respiratory disease,537.0
10089,females,2017,2262.02625168878,Respiratory disease,441.0
10033,females,2017,3334.18291597939,Respiratory disease,230.0
10287,females,2017,1660.26541054465,Respiratory disease,137.0
10288,females,2017,2900.7765981246,Respiratory disease,301.0
10154,females,2017,1779.84752670492,Respiratory disease,257.0
10289,females,2017,1935.63285865473,Respiratory disease,216.0
10171,females,2017,1666.64886734978,Respiratory disease,125.0
10328,females,2017,1554.69709284553,Respiratory disease,109.0
10262,females,2017,1841.50395835313,Respiratory disease,137.0
10263,females,2017,1211.2554960558,Respiratory disease,234.0
10060,females,2017,1574.1034687858,Respiratory disease,380.0
10088,females,2017,3118.17014660837,Respiratory disease,276.0
10329,females,2017,1236.69476394594,Respiratory disease,94.0
10097,females,2017,2381.0948785726,Respiratory disease,273.0
10027,females,2017,2612.27872325657,Respiratory disease,567.0
10029,females,2017,5021.04643268867,Respiratory disease,278.0
10274,females,2017,2858.54941116495,Respiratory disease,120.0
10181,females,2017,1541.67321834537,Respiratory disease,263.0
10304,females,2017,3009.18642082736,Respiratory disease,160.0
10304,females,2017,1985.34406637684,Respiratory disease,632.0
10305,females,2017,2298.14081820165,Respiratory disease,79.0
10217,females,2017,4712.04290649931,Respiratory disease,138.0
10218,females,2017,1168.01577108945,Respiratory disease,60.0
10082,females,2017,1980.76239479269,Respiratory disease,193.0
10321,females,2017,1499.92806258642,Respiratory disease,141.0
10129,females,2017,1997.57894214614,Respiratory disease,166.0
10130,females,2017,2057.4113910978,Respiratory disease,341.0
10136,females,2017,2080.31890529954,Respiratory disease,436.0
10087,females,2017,1273.13481044539,Respiratory disease,186.0
10322,females,2017,2907.69555661187,Respiratory disease,217.0
10174,females,2017,,Respiratory disease,
10247,females,2017,1920.49443263764,Respiratory disease,86.0
10183,females,2017,3295.65360573363,Respiratory disease,244.0
10184,females,2017,1704.27755036852,Respiratory disease,289.0
10155,females,2017,1746.17118214426,Respiratory disease,348.0
10052,females,2017,1427.86305356658,Respiratory disease,156.0
10053,females,2017,2292.0347247537,Respiratory disease,223.0
10178,females,2017,2460.59351311287,Respiratory disease,195.0
10113,females,2017,857.330264185453,Respiratory disease,128.0
10034,females,2017,1881.07184328477,Respiratory disease,138.0
10223,females,2017,2384.66599781217,Respiratory disease,196.0
10243,females,2017,1632.44152143572,Respiratory disease,202.0
10244,females,2017,2044.84379765408,Respiratory disease,197.0
10245,females,2017,1674.28624683756,Respiratory disease,165.0
10030,females,2017,1582.26070064228,Respiratory disease,248.0
10025,females,2017,1422.69826540338,Respiratory disease,197.0
10163,females,2017,1611.94179517279,Respiratory disease,212.0
10265,females,2017,1437.54894021972,Respiratory disease,86.0
10048,females,2017,1098.94310513931,Respiratory disease,208.0
10213,females,2017,2871.28336541085,Respiratory disease,154.0
10039,females,2017,1029.77434130334,Respiratory disease,255.0
10054,females,2017,1509.0173936931,Respiratory disease,141.0
10114,females,2017,2620.83803495709,Respiratory disease,382.0
10026,females,2017,1975.85927166924,Respiratory disease,199.0
10062,females,2017,,Respiratory disease,
10058,females,2017,1311.8024800301,Respiratory disease,139.0
10020,females,2017,3279.74571971223,Respiratory disease,270.0
10134,females,2017,2009.46611335432,Respiratory disease,266.0
10191,females,2017,4258.80698827114,Respiratory disease,310.0
10219,females,2017,2433.61662821062,Respiratory disease,179.0
10214,females,2017,1153.70504516036,Respiratory disease,39.0
